Cognomi,Numero
RIZZO,966
GRECO,930
QUARTA,775
PERRONE,602
MAZZOTTA,587
DE GIORGI,528
INGROSSO,477
CAPONE,427
RUSSO,425
ROLLO,422
ROMANO,390
DE LUCA,378
CENTONZE,361
LONGO,353
DELL'ANNA,350
SPEDICATO,339
LEZZI,318
CONTE,316
BRUNO,315
DE MATTEIS,305
GUIDO,305
LEONE,301
MELE,292
DE SANTIS,287
DE PASCALIS,285
FIORENTINO,283
DE CARLO,260
NEGRO,246
MONTINARO,243
CAPOCCIA,240
CALO',237
MARTINA,235
MIGLIETTA,231
MONACO,221
LEO,216
PALADINI,214
SANTORO,213
TORNESE,210
ELIA,209
PINTO,193
PEPE,190
BIANCO,189
RENNA,188
CALOGIURI,186
CAPUTO,186
MARZO,184
DE RINALDIS,181
BUTTAZZO,180
ESPOSITO,178
PELLEGRINO,178
DE FILIPPI,176
CARLA',173
MARRA,173
CARICATO,170
DE VITIS,170
PERULLI,169
DE MITRI,168
ERRICO,166
PAGLIARA,165
SPAGNOLO,161
ROSATO,154
TAURINO,151
ZECCA,151
STEFANELLI,148
TARANTINO,148
PASCALI,144
FAGGIANO,143
PALAZZO,143
SERGIO,138
DONNO,137
MORELLI,135
CASILLI,133
COPPOLA,133
GIANNONE,133
DE GIOVANNI,132
COLELLA,131
PERSANO,131
LUPERTO,130
DE BLASI,129
GRASSO,128
LIACI,128
LICCI,125
LEUZZI,124
TONDO,123
URSO,123
MARGIOTTA,120
PEDONE,119
TOTARO,119
CALABRESE,118
ORLANDO,118
PALUMBO,118
SIGNORE,118
CARROZZO,117
MARIANO,117
PALLARA,116
ANTONACI,115
TOMMASI,115
DE DONNO,114
PANICO,114
CAZZELLA,113
MICCOLI,112
MAGGIO,111
FRANCO,111
MAGGIORE,111
PATI,111
COLACI,110
CORALLO,110
D'ELIA,110
GIORDANO,108
MAZZEO,108
SINGH,108
STARACE,108
CARACCIOLO,106
CONGEDO,106
PETRELLI,106
PICCINNO,106
NUZZO,105
CAZZATO,104
COSTANTINI,103
DURANTE,103
GAETANI,103
GIGANTE,103
PETRACHI,103
EPIFANI,101
CANDIDO,100
DEL COCO,100
PEZZUTO,99
ROSSI,99
CICCARESE,98
LAUDISA,97
PASTORE,96
PETRACCA,96
BARBA,95
CORRADO,95
PISANO',95
VERGINE,95
CASTELLUZZO,94
DE LORENZIS,94
MANCA,94
MANNO,94
APRILE,93
VERGARI,93
CAMPOBASSO,92
POTI',92
BURSOMANNO,91
D'ORIA,91
SAPONARO,91
CHIRIATTI,90
DE MASI,90
DE PANDIS,90
POLITI,90
DE ROSA,89
MORELLO,89
SERAFINO,89
BEVILACQUA,88
CHIRIZZI,88
GIANNUZZI,88
MANCARELLA,88
ALBANESE,87
CANNONE,87
DE VERGORI,87
RIZZELLO,87
RUCCO,87
VILLANI,87
CARLINO,86
CILLO,86
COSMA,86
GIANCANE,85
MARINO,85
PANTALEO,85
FASIELLO,84
PATARNELLO,84
BRAY,83
NICOLI',83
SERRA,83
BISCONTI,82
CARLUCCIO,82
D'AMICO,82
MARANGIO,82
RAHO,82
ZILLI,82
ATTANASIO,81
DE SALVATORE,81
MARZANO,81
PAIANO,80
VANTAGGIATO,80
DE LEO,79
SCHIPA,79
DANESE,78
FERRARI,78
SARACINO,78
ALEMANNO,77
ANTONUCCI,77
DE TOMMASI,77
GARRISI,77
PALMA,77
FAZZI,76
GARGIULO,76
MADARO,76
QUARANTA,76
CANNOLETTA,75
GRAVILI,75
BALDASSARRE,74
BUSCICCHIO,74
MACI,74
MALINCONICO,74
STRIANI,74
TONDI,74
VERGALLO,74
COLONNA,73
CORVAGLIA,73
FASANO,73
SCHIRINZI,73
VITALE,73
DORIA,72
EVANGELISTA,72
AMATO,71
GATTO,71
CAVALLO,70
DE SIMONE,70
SCORRANO,70
VETRUGNO,70
GIURGOLA,69
LEUCCI,69
COSI,68
MAZZEI,68
RICCHIUTO,68
SOZZO,68
CUNA,67
FRACASSO,67
MARTI,67
MELISSANO,67
PALMIERI,67
SERIO,67
COLUCCIA,66
CRETI',66
GENTILE,66
GUACCI,66
LUPO,66
GERARDI,65
TOMA,65
MIGGIANO,64
PAPADIA,64
TIMO,64
VALENTE,64
BELLO,63
FERRERI,63
PRANZO,63
SPARAPANO,63
TAFURO,63
DE MARCO,62
FEDELE,62
INDINO,62
MORRONE,62
TURCO,62
VALLETTA,62
CARBONE,61
CATALANO,61
LICCARDI,61
MONTINARI,61
PANZERA,61
CAROPPO,60
COSTA,60
GALLO,60
INVIDIA,60
LEOPIZZI,60
MACCHIA,60
PRETE,60
SCARDINO,60
ANCORA,59
FRASSANITO,59
INGUSCIO,59
MARTELLA,59
METRANGOLO,59
CAPRIOLI,58
D'AMATO,58
PRONTERA,58
SCRIMIERI,58
CAMPA,57
GRASSI,57
LUBELLI,57
MASSARO,57
MASTROLIA,57
PELUSO,57
PRESICCE,57
TORTORELLA,57
COLUCCI,56
GUERRIERI,56
LAZZARI,56
MAROTTA,56
MERICO,56
