CATEGORIA;RAGIONE SOCIALE;INDIRIZZO;CAP;CITTA;PROV;REG;TELEFONO;COORDINATE MAPPA;EMAIL;
Mobili - Vendita al Dettaglio;Lazzarini;Via Tolmezzo XX,;33054;LIGNANO SABBIADORO ;(UD) ;    FRIULI VENEZIA GIULIA;0431-719XX;45.68XXX 13.14XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Qualitarreda;Via Fratelli Mucchiut X,;34078;SAGRADO ;(GO) ;    FRIULI VENEZIA GIULIA;388-46781XX;45.XXX 13.48XXX;info@federweb.com;
Agenti e Rappresentanti di Commercio        Arredamenti - Vendita al Dettaglio;Zilli;Via Caduti di Nassiriya XX,;33080;PORCIA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-9240XX;45.XXX 12.62XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;'Mobili F.lli Turina di Nicoletta Turina Sas;Via Baiamonti Antonio XXX,;34145;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-8153XX;45.63XXX 13.79XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Artelegno S.r.l.;Via Brasil X,;33028;TOLMEZZO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-4661XX;46.38XXX 13.02XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Bizeta Uno Srl;Via Vittorino da Feltre X,;34141;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-6601XX;45.64XXX 13.78XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Boz Alessandro;Via Vittorio Veneto XX,;33053;LATISANA ;(UD) ;    FRIULI VENEZIA GIULIA;335-54938XX;45.7XXX 12.99XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Caliman s.a.s. di Caliman Claudio & c.;Via Indri Monsignor Fioravante XX/X,;33082;AZZANO DECIMO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6487XX;45.91XXX 12.65XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Csm di Londero Alessandro;Via Marzârs XXX,;33013;GEMONA DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;347-22900XX;46.26XXX 13.1XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Cucine e Dintorni Srl;Via Revedole XX,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;346-06229XX;45.9XXX 12.67XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Cucine e Dintorni Srl;Via Valessa XX,;33080;ROVEREDO IN PIANO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-0122XX;45.98XXX 12.61XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Daneluzzo Pier Giorgio;Via Settimo XX, Marignana;33079;SESTO AL REGHENA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6991XX;45.85XXX 12.7XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Elite Kriterio Srl;Interporto Centro Ingrosso DI Pordenone,;;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5141XX;45.94XXX 12.67XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Euroarredi Srl;Via Cotonificio XX, Feletto Umberto;33010;TAVAGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5756XX;46.10XXX 13.2XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Expan Srl Unipersonale;Via Colugna X/a,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4806XX;46.07XXX 13.23XXX;info@federweb.com;
Sedie e Tavoli - Vendita al Dettaglio;F.lli Rossi S.n.c.;Via Lino Zanussi, X,;33050;PAVIA DI UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6762XX;45.98XXX 13.31XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Idea Erre Arreda Sas di Cristin Marco;Via Guglielmo Marconi XX,;33030;MAJANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9475XX;46.18XXX 13.06XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Ingrosso Mobili di Budai Gianpaolo e c. Sas;Via Nazionale XX,;33048;SAN GIOVANNI AL NATISONE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7561XX;45.96XXX 13.4XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;La Casa Nella Prateria;Lugoj Timisoara Pordenone,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-2080XX;45.96XXX 12.64XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Medea S.r.l.;Via dell' Artigianato XX,;33070;BRUGNERA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6081XX;45.86XXX 12.54XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobil Service Srl;Via Pigafetta Antonio X,;34147;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-47020XX;45.61XXX 13.80XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobilificio Fasano di di Gaspero Herman;Via Monte Nero X,;33043;CIVIDALE DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7309XX;46.09XXX 13.4XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Mobilificio Pitton Gastone (S.n.c.);Via Nazionale XX,;33056;PALAZZOLO DELLO STELLA ;(UD) ;    FRIULI VENEZIA GIULIA;0431-583XX;45.80XXX 13.08XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Orologi Sas;Via Valcanale XX, Camporosso In Valcanale;33018;TARVISIO ;(UD) ;    FRIULI VENEZIA GIULIA;0428-6537XX;46.50XXX 13.53XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Punto b. S.r.l.;Via Sagree XX,;33080;PRATA DI PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6113XX;45.89XXX 12.5XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Rc Color Snc;Via Capitolina XX,;34131;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;347-43514XX;45.64XXX 13.77XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Rocca Alberto;Via Boccaccio Giovanni XX,;34135;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-4109XX;45.66XXX 13.77XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Sbalzo su Rame di Marta Rigotti;Via dei Moreri XX,;34135;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;333-21707XX;45.66XXX 13.77XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Sfera s.a.s. di Andrea Turina e c.;Via dei Piccardi XX/a,;34141;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-93808XX;45.64XXX 13.78XXX;info@federweb.com;
Sedie e Tavoli - Vendita al Dettaglio;Tornibel Srl;Via dei Prati X,;33044;MANZANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7502XX;46.02XXX 13.39XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Urban Area S.r.l.;Via Nazionale X,;33010;TAVAGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5488XX;46.09XXX 13.23XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Zilio Carla;Via Carlo Alberto XX,;33043;CIVIDALE DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7341XX;46.09XXX 13.42XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;A.g.m. Arredamenti S.r.l.;Via dei Pini X,;33054;LIGNANO SABBIADORO ;(UD) ;    FRIULI VENEZIA GIULIA;0431-4288XX;45.66XXX 13.10XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;A.g.m. S.n.c. di Enzo Racchello & Mariano Angelone;Via dei Pini X,;33054;LIGNANO SABBIADORO ;(UD) ;    FRIULI VENEZIA GIULIA;0431-4288XX;45.66XXX 13.10XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;A.m.a. Mobili S.r.l.;Corso Italia X,;33080;PORCIA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-9216XX;45.9XXX 12.6XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;A.n.p.a. Arredamenti S.r.l.;Via Duca d'Aosta XX,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-4863XX;45.80XXX 13.52XXX;info@federweb.com;
Arredamenti - Vendita al Dettaglio;Aiazzone Arredamenti;Via Pier Paolo Pasolini X,;33040;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4091XX;46.07XXX 13.2XXX;info@federweb.com;
Mobili Giardini e Terrazzi        Mobili Artistici in Stile - Vendita al Dettaglio;Aita Legno;Via Caiu', XX,;33052;CERVIGNANO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0431-318XX;45.81XXX 13.32XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Altha.it S.r.l.;Via dell' Industria X,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0431-960XX;45.87XXX 13.34XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Ambientarredo;;;;0435-4661XX;46.56XXX 12.71XXX;info@federweb.com;
Mobili - Vendita al Dettaglio;Ar.té. Arredamenti di Massimo Ferrin & c.;Viale della Liberta XX,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-431XX;45.96XXX 12.66XXX;info@federweb.com;
Ceramiche per Pavimenti e Rivestimenti - Vendita al Dettaglio;Arch.e Arredo;Via Pier Paolo Pasolini, XX/A,;33072;CASARSA DELLA DELIZIA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-8701XX;45.95XXX 12.84XXX;info@federweb.com;
