Centri Commerciali, Supermercati e Grandi Magazzini;Zuiki c/o Tiare Shopping;Localita Maranuz X,;34070;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;0432-461XX;45.8XXX 13.43XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Zuiki c/o Terminal Nord;Via Tricesimo XXX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-461XX;46.09XXX 13.23XXX;info@federweb.com;
Abbigliamento - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;Zuiki;SpXXX,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8364XX;45.88XXX 13.33XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Zrf Group Srl;Via Mascagni Pietro X,;34148;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-83202XX;45.62XXX 13.80XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Zooplanet c/o Pradamano Shopping Center;Via Nazionale XXX, Lovaria;33040;PRADAMANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6414XX;46.0XXX 13.27XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Zooplanet c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5429XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Zebra a Pua' c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4030XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Zebra a Pua' c/o Belforte Gran Shopping;Via g. f. Pocar X,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-7867XX;45.81XXX 13.5XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Zazzeron Supermercati S.r.l.;Via della Concordia X,;34144;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-37205XX;45.64XXX 13.77XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Zara c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4100XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Zamolo Fiorello;Via Canal del Ferro X,;33010;VENZONE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9782XX;46.38XXX 13.13XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Zamaro Adriano;Via i Maggio XX,;33040;PRADAMANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6701XX;46.03XXX 13.30XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Z-Enfant c/o Torri d'Europa;Via Italo Svevo XX,;34144;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-37204XX;45.63XXX 13.77XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Z Generation c/o Gran Fiume Shopping;Via Maestri del Lavoro XX,;33080;FIUME VENETO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-4577XX;45.94XXX 12.72XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Z Generation c/o Belforte Gran Shopping;Via g. f. Pocar X,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-454XX;45.81XXX 13.5XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Yves Rocher c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5425XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Youngo Baby Parking c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;344-14447XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Yes Zee Essenza c/o Palmanova Outlet;Strada Provinciale XXX,;33041;AIELLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9982XX;45.88XXX 13.33XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Yamamay c/o Tiare Shopping;Localita Maranuz X,;34070;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-916XX;45.8XXX 13.43XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Yamamay c/o i Salici;Viale Europa X, Cornadella;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-18383XX;45.94XXX 12.46XXX;info@federweb.com;
Biancheria Intima ed Abbigliamento Intimo - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;Yamamay;Via Maestri del Lavoro XX,;33080;FIUME VENETO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-4577XX;45.94XXX 12.72XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Sisa;Via Eugenio Curiel XX,;33050;TERZO D'AQUILEIA ;(UD) ;    FRIULI VENEZIA GIULIA;0431-3712XX;45.80XXX 13.3XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Sisa;Via Nazionale XX, Vidulis;33030;DIGNANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9513XX;46.09XXX 12.94XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Sinergia Spa;Localita' Domio XXX,;34018;SAN DORLIGO DELLA VALLE ;(TS) ;    FRIULI VENEZIA GIULIA;040-28231XX;45.61XXX 13.82XXX;info@federweb.com;
Elettrodomestici - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;Sheila S.r.l.;Via Flavia di Stramare XXX,;34015;MUGGIA ;(TS) ;    FRIULI VENEZIA GIULIA;040-92353XX;45.59XXX 13.80XXX;info@federweb.com;
Alimentari - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;Sexta S.r.l.;Strada di Fiume XX,;34149;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-94090XX;45.63XXX 13.79XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Sergio Riosa Successori di Adriano Riosa;Via dell' Istria X,;34137;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-7689XX;45.64XXX 13.7XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Sergent Major c/o Citta' Fiera;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4104XX;46.08XXX 13.17XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Serafini Carlo & c. S.n.c.;Via degli Orti X,;33055;MUZZANA DEL TURGNANO ;(UD) ;    FRIULI VENEZIA GIULIA;0431-690XX;45.76XXX 13.16XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Sephora c/o Torri d'Europa;Via Italo Svevo XX,;34144;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-3629XX;45.63XXX 13.77XXX;info@federweb.com;
Profumerie        Centri Commerciali, Supermercati e Grandi Magazzini;Sephora c/o Tiare Shopping;Localita Maranuz X,;34070;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-9180XX;45.8XXX 13.43XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Sensi c/o Montedoro Shopping Center;Via Flavia di Stramare XXX,;34015;MUGGIA ;(TS) ;    FRIULI VENEZIA GIULIA;049-06444XX;45.59XXX 13.80XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Segue c/o Montedoro Free Time;Via Flavia di Stramare XXX,;34015;MUGGIA ;(TS) ;    FRIULI VENEZIA GIULIA;040-2319XX;45.59XXX 13.80XXX;info@federweb.com;
Centri Commerciali, Supermercati e Grandi Magazzini;Secret Parrucchieri c/o Borc di Cividat;Viale Foramitti X,;33043;CIVIDALE DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7304XX;46.09XXX 13.4XXX;info@federweb.com;
Abbigliamento - Vendita al Dettaglio        Centri Commerciali, Supermercati e Grandi Magazzini;Scorpion Bay;Via Flavia di Stramare XXX,;34015;MUGGIA ;(TS) ;    FRIULI VENEZIA GIULIA;040-24641XX;45.59XXX 13.80XXX;info@federweb.com;
